"Product","Mean","Median","Date"
"Women's hair'",17.72653,16,"2000-05-01"
"Hardback book",15.42542,16.99,"2000-05-01"
"Men's hair'",8.926408,7,"2000-05-01"
"Oil",4.747613,4.76,"2000-05-01"
"Kerosene",184.2037,183.75,"2000-05-01"
".",3.249615,3.05,"2000-05-01"
"Kerosene",187.8279,186.9,"2000-06-01"
"Women's hair'",17.70905,16,"2000-06-01"
"Men's hair'",8.971729,7,"2000-06-01"
"Hardback book",15.26817,16.99,"2000-06-01"
".",3.263077,3.1,"2000-06-01"
"Softback book",7.505238,6.99,"2000-06-01"
"Oil",4.842901,4.99,"2000-06-01"
"Softback book",7.91,7.99,"2000-07-01"
"Women's hair'",17.58733,16.125,"2000-07-01"
".",3.289773,3.1,"2000-07-01"
"Kerosene",201.3332,201.865,"2000-07-01"
"Men's hair'",8.857733,7,"2000-07-01"
"Oil",4.878272,4.99,"2000-07-01"
"Hardback book",14.45922,14.99,"2000-07-01"
".",3.316016,3.1,"2000-08-01"
"Oil",4.90167,4.99,"2000-08-01"
"Hardback book",14.3162,12.99,"2000-08-01"
"Men's hair'",8.96461,7,"2000-08-01"
"Women's hair'",17.85264,16.5,"2000-08-01"
"Softback book",7.270991,6.99,"2000-08-01"
"Kerosene",203.3111,202.13,"2000-08-01"
".",3.286822,3.1,"2000-09-01"
"Men's hair'",9.062707,7,"2000-09-01"
"Hardback book",14.29921,12.99,"2000-09-01"
"Kerosene",261.2272,262.29,"2000-09-01"
"Oil",5.003241,4.99,"2000-09-01"
"Women's hair'",18.00283,16.8,"2000-09-01"
"Softback book",7.03065,6.99,"2000-09-01"
".",3.282813,3.1,"2000-10-01"
"Men's hair'",9.069701,7.1,"2000-10-01"
"Kerosene",268.3023,267.75,"2000-10-01"
"Hardback book",14.26622,12.99,"2000-10-01"
"Oil",4.968679,4.99,"2000-10-01"
"Softback book",6.618788,6.99,"2000-10-01"
"Women's hair'",18.01054,16.65,"2000-10-01"
"Oil",4.970366,4.99,"2000-11-01"
"Hardback book",14.52106,12.99,"2000-11-01"
"Kerosene",254.9574,256.2,"2000-11-01"
".",3.277734,3.1,"2000-11-01"
"Softback book",6.325736,6.3,"2000-11-01"
"Women's hair'",18.17487,16.95,"2000-11-01"
"Men's hair'",9.129963,7.2,"2000-11-01"
"Oil",4.998146,4.99,"2000-12-01"
".",3.284109,3.1,"2000-12-01"
"Women's hair'",18.14865,16.65,"2000-12-01"
"Softback book",6.271482,6.99,"2000-12-01"
"Men's hair'",9.097116,7,"2000-12-01"
"Kerosene",238.3398,241.5,"2000-12-01"
"Hardback book",14.97614,12.99,"2000-12-01"
"Kerosene",208.8624,206.435,"2001-01-01"
"Oil",5.00212,4.99,"2001-01-01"
"Women's hair'",18.32774,16.97,"2001-01-01"
"Men's hair'",9.185694,7.35,"2001-01-01"
"Hardback book",16.05873,16.99,"2001-01-01"
"Softback book",6.576466,6.99,"2001-01-01"
".",3.317623,3.1,"2001-01-01"
"Hardback book",16.62762,16,"2001-02-01"
"Oil",5.139256,4.99,"2001-02-01"
"Softback book",6.573416,6.99,"2001-02-01"
"Women's hair'",18.35297,17,"2001-02-01"
".",3.332215,3.1,"2001-02-01"
"Kerosene",210.093,209.79,"2001-02-01"
"Men's hair'",9.245836,7.2,"2001-02-01"
"Women's hair'",18.53313,17.5,"2001-03-01"
"Men's hair'",9.112519,7.1,"2001-03-01"
"Kerosene",203.9909,204.75,"2001-03-01"
"Oil",5.227172,5.19,"2001-03-01"
"Hardback book",14.89008,14.99,"2001-03-01"
".",3.341949,3.15,"2001-03-01"
"Softback book",6.316692,5.99,"2001-03-01"
".",3.3625,3.175,"2001-04-01"
"Hardback book",14.46595,14.99,"2001-04-01"
"Men's hair'",9.33588,7.2,"2001-04-01"
"Kerosene",196.2813,194.25,"2001-04-01"
"Oil",5.242207,5.19,"2001-04-01"
"Softback book",6.505391,6.99,"2001-04-01"
"Women's hair'",18.4369,17,"2001-04-01"
"Softback book",6.2836,5.99,"2001-05-01"
"Men's hair'",9.330744,7.2,"2001-05-01"
"Kerosene",204.4273,204.75,"2001-05-01"
"Hardback book",13.99935,12.99,"2001-05-01"
"Oil",5.225153,5.19,"2001-05-01"
"Women's hair'",18.63626,17.25,"2001-05-01"
".",3.4,3.2,"2001-05-01"
"Oil",5.276801,5.19,"2001-06-01"
"Hardback book",13.69733,12.99,"2001-06-01"
".",3.41015,3.2,"2001-06-01"
"Women's hair'",18.75981,17.5,"2001-06-01"
"Softback book",6.083095,5.99,"2001-06-01"
"Men's hair'",9.463015,7.5,"2001-06-01"
"Kerosene",207.913,208.95,"2001-06-01"
"Men's hair'",9.59376,7.5,"2001-07-01"
"Women's hair'",18.91688,17.725,"2001-07-01"
".",3.460227,3.2,"2001-07-01"
"Hardback book",13.74066,12.99,"2001-07-01"
"Oil",5.310396,5.27,"2001-07-01"
"Kerosene",194.8384,194.25,"2001-07-01"
"Softback book",6.144715,5.99,"2001-07-01"
"Oil",5.302,5.19,"2001-08-01"
".",3.469084,3.2,"2001-08-01"
"Men's hair'",9.4803,7.5,"2001-08-01"
"Kerosene",191.9944,191.365,"2001-08-01"
"Women's hair'",18.72284,17.5,"2001-08-01"
"Softback book",6.071463,5.99,"2001-08-01"
"Hardback book",13.64097,12.99,"2001-08-01"
"Oil",5.353446,5.29,"2001-09-01"
"Softback book",6.032713,5.99,"2001-09-01"
"Hardback book",13.49232,12.99,"2001-09-01"
"Women's hair'",18.90145,18,"2001-09-01"
"Men's hair'",9.631141,7.5,"2001-09-01"
".",3.472348,3.25,"2001-09-01"
"Kerosene",221.2448,220.5,"2001-09-01"
"Kerosene",186.2007,183.75,"2001-10-01"
"Oil",5.327773,5.29,"2001-10-01"
"Hardback book",13.64973,12.99,"2001-10-01"
"Men's hair'",9.643948,7.5,"2001-10-01"
"Women's hair'",19.14474,18,"2001-10-01"
"Softback book",6.153934,5.99,"2001-10-01"
".",3.472932,3.2,"2001-10-01"
"Men's hair'",9.627201,7.5,"2001-11-01"
"Kerosene",169.8822,167.48,"2001-11-01"
"Oil",5.381594,5.39,"2001-11-01"
"Softback book",6.265,5.99,"2001-11-01"
"Hardback book",14.17476,12.99,"2001-11-01"
".",3.489015,3.275,"2001-11-01"
"Women's hair'",19.27354,18,"2001-11-01"
"Oil",5.344489,5.37,"2001-12-01"
".",3.478244,3.25,"2001-12-01"
"Men's hair'",9.548847,7.5,"2001-12-01"
"Hardback book",13.772,12.99,"2001-12-01"
"Softback book",6.24,5.99,"2001-12-01"
"Women's hair'",19.24959,18,"2001-12-01"
"Kerosene",159.975,158.03,"2001-12-01"
"Men's hair'",9.648646,7.5,"2002-01-01"
"Kerosene",165.3433,164.85,"2002-01-01"
"Women's hair'",19.47487,18,"2002-01-01"
".",3.507258,3.2,"2002-01-01"
"Softback book",6.307073,5.99,"2002-01-01"
"Hardback book",14.33809,12.99,"2002-01-01"
"Oil",5.379391,5.39,"2002-01-01"
"Hardback book",15.02867,12.99,"2002-02-01"
"Oil",5.498937,5.49,"2002-02-01"
"Kerosene",163.0401,162.23,"2002-02-01"
".",3.390446,3.15,"2002-02-01"
"Men's hair'",9.873111,7.5,"2002-02-01"
"Softback book",6.265229,5.99,"2002-02-01"
"Women's hair'",19.57574,18.5,"2002-02-01"
".",3.404895,3.1,"2002-03-01"
"Men's hair'",9.824408,7.5,"2002-03-01"
"Hardback book",15.25394,13.99,"2002-03-01"
"Kerosene",172.774,172.465,"2002-03-01"
"Softback book",6.085652,5.99,"2002-03-01"
"Women's hair'",19.52724,18.5,"2002-03-01"
"Oil",5.499761,5.49,"2002-03-01"
"Women's hair'",19.5455,18.5,"2002-04-01"
"Softback book",6.019661,5.99,"2002-04-01"
"Oil",5.524099,5.49,"2002-04-01"
".",3.429078,3.2,"2002-04-01"
"Hardback book",14.83906,12.99,"2002-04-01"
"Men's hair'",9.944758,7.5,"2002-04-01"
"Kerosene",177.3772,177.45,"2002-04-01"
".",3.42971,3.2,"2002-05-01"
"Women's hair'",19.69506,18.5,"2002-05-01"
"Kerosene",179.6563,178.185,"2002-05-01"
"Oil",5.461383,5.49,"2002-05-01"
"Softback book",5.939579,5.99,"2002-05-01"
"Men's hair'",9.892937,7.5,"2002-05-01"
"Hardback book",15.73257,14.99,"2002-05-01"
"Women's hair'",19.75348,18.5,"2002-06-01"
"Hardback book",16.42663,16.99,"2002-06-01"
"Men's hair'",10.01075,7.9,"2002-06-01"
".",3.448913,3.2,"2002-06-01"
"Softback book",5.894,5.99,"2002-06-01"
"Kerosene",174.4868,173.25,"2002-06-01"
"Oil",5.48,5.49,"2002-06-01"
"Hardback book",16.4725,16.99,"2002-07-01"
"Softback book",5.894762,5.99,"2002-07-01"
"Men's hair'",10.12833,7.5,"2002-07-01"
"Women's hair'",19.94287,18.5,"2002-07-01"
"Oil",5.47692,5.49,"2002-07-01"
"Kerosene",171.6655,170.63,"2002-07-01"
".",3.472302,3.25,"2002-07-01"
"Women's hair'",20.18904,18.9,"2002-08-01"
"Men's hair'",10.18946,7.9,"2002-08-01"
"Softback book",5.437235,4.99,"2002-08-01"
"Hardback book",16.31053,14.99,"2002-08-01"
".",3.457299,3.2,"2002-08-01"
"Oil",5.524721,5.49,"2002-08-01"
"Kerosene",170.929,168,"2002-08-01"
"Women's hair'",20.18071,18.95,"2002-09-01"
"Men's hair'",10.13993,7.7,"2002-09-01"
"Oil",5.51533,5.49,"2002-09-01"
"Hardback book",16.47913,16.99,"2002-09-01"
".",3.463333,3.25,"2002-09-01"
"Softback book",5.925564,5.99,"2002-09-01"
"Kerosene",192.5921,192.68,"2002-09-01"
"Women's hair'",20.38447,18.95,"2002-10-01"
"Hardback book",15.78305,14.99,"2002-10-01"
"Softback book",5.933629,5.99,"2002-10-01"
"Oil",5.574923,5.49,"2002-10-01"
"Men's hair'",10.28364,8,"2002-10-01"
"Kerosene",193.5838,192.15,"2002-10-01"
".",3.483088,3.3,"2002-10-01"
"Hardback book",14.87811,13.99,"2002-11-01"
"Women's hair'",20.27299,18.95,"2002-11-01"
"Kerosene",173.5601,171.94,"2002-11-01"
"Oil",5.599496,5.49,"2002-11-01"
"Softback book",6.125,6.99,"2002-11-01"
".",3.493657,3.275,"2002-11-01"
"Men's hair'",10.2463,7.75,"2002-11-01"
".",3.508712,3.3,"2002-12-01"
"Women's hair'",20.42369,19,"2002-12-01"
"Hardback book",14.38991,13.99,"2002-12-01"
"Men's hair'",10.19628,8,"2002-12-01"
"Softback book",6.152601,6.99,"2002-12-01"
"Kerosene",194.7106,194.25,"2002-12-01"
"Oil",5.570674,5.59,"2002-12-01"
"Softback book",6.179344,5.99,"2003-01-01"
"Oil",5.6159,5.69,"2003-01-01"
"Hardback book",15.60955,15,"2003-01-01"
"Women's hair'",20.63912,19.25,"2003-01-01"
"Kerosene",201.7896,199.5,"2003-01-01"
".",3.509206,3.3,"2003-01-01"
"Men's hair'",10.23662,8,"2003-01-01"
".",3.538848,3.3,"2003-02-01"
"Hardback book",15.54544,14.99,"2003-02-01"
"Softback book",6.05938,5.99,"2003-02-01"
"Women's hair'",20.89479,19.6,"2003-02-01"
"Men's hair'",10.56061,7.5,"2003-02-01"
"Oil",5.683893,5.79,"2003-02-01"
"Kerosene",240.4951,238.88,"2003-02-01"
"Men's hair'",10.62331,7.75,"2003-03-01"
"Softback book",6.101702,5.99,"2003-03-01"
"Women's hair'",20.95206,20,"2003-03-01"
".",3.539419,3.3,"2003-03-01"
"Kerosene",246.362,243.39,"2003-03-01"
"Hardback book",16.16861,15,"2003-03-01"
"Oil",5.683512,5.79,"2003-03-01"
"Softback book",6.445135,6.99,"2003-04-01"
"Hardback book",15.59887,15,"2003-04-01"
"Kerosene",185.1685,183.75,"2003-04-01"
"Men's hair'",10.5347,7.775,"2003-04-01"
"Oil",5.725127,5.79,"2003-04-01"
".",3.555822,3.325,"2003-04-01"
"Women's hair'",21.02793,20,"2003-04-01"
"Women's hair'",21.15928,20,"2003-05-01"
"Kerosene",173.5905,170.94,"2003-05-01"
"Men's hair'",10.56255,8,"2003-05-01"
"Softback book",6.45018,6.99,"2003-05-01"
".",3.557692,3.35,"2003-05-01"
"Oil",5.691617,5.79,"2003-05-01"
"Hardback book",15.79568,15,"2003-05-01"
"Men's hair'",10.47639,8,"2003-06-01"
"Women's hair'",21.1424,20,"2003-06-01"
"Hardback book",16.00429,15,"2003-06-01"
"Kerosene",169.3918,167.48,"2003-06-01"
"Softback book",7.12055,7.99,"2003-06-01"
"Oil",5.734527,5.79,"2003-06-01"
".",3.585664,3.4,"2003-06-01"
"Women's hair'",21.29669,20,"2003-07-01"
".",3.569863,3.4,"2003-07-01"
"Softback book",7.112381,7.99,"2003-07-01"
"Kerosene",177.0732,175.88,"2003-07-01"
"Hardback book",14.3825,14.99,"2003-07-01"
"Men's hair'",10.48537,8,"2003-07-01"
"Oil",5.773089,5.79,"2003-07-01"
"Oil",5.787884,5.79,"2003-08-01"
"Kerosene",185.1346,183.75,"2003-08-01"
"Hardback book",14.69519,15,"2003-08-01"
"Women's hair'",21.35596,20,"2003-08-01"
"Men's hair'",10.58004,8,"2003-08-01"
"Softback book",6.995625,7.99,"2003-08-01"
".",3.570873,3.4,"2003-08-01"
"Softback book",6.90728,6.99,"2003-09-01"
"Hardback book",15.05058,15.99,"2003-09-01"
".",3.567285,3.4,"2003-09-01"
"Men's hair'",10.6057,8,"2003-09-01"
"Women's hair'",21.51279,20,"2003-09-01"
"Kerosene",179.3037,177.45,"2003-09-01"
"Oil",5.821292,5.89,"2003-09-01"
"Softback book",6.887357,7.99,"2003-10-01"
"Oil",5.832169,5.94,"2003-10-01"
".",3.580861,3.45,"2003-10-01"
"Kerosene",196.5253,194.25,"2003-10-01"
"Hardback book",14.3347,14.99,"2003-10-01"
"Women's hair'",21.62519,20,"2003-10-01"
"Men's hair'",10.59981,8,"2003-10-01"
"Women's hair'",21.78226,20.95,"2003-11-01"
"Hardback book",14.16955,14.99,"2003-11-01"
".",3.580861,3.45,"2003-11-01"
"Oil",5.815342,5.99,"2003-11-01"
"Men's hair'",10.80169,8,"2003-11-01"
"Softback book",6.801678,6.99,"2003-11-01"
"Kerosene",195.8481,194.25,"2003-11-01"
"Oil",5.830491,5.99,"2003-12-01"
"Women's hair'",21.78346,20.475,"2003-12-01"
".",3.582282,3.5,"2003-12-01"
"Kerosene",203.6201,202.13,"2003-12-01"
"Softback book",7.060863,7.99,"2003-12-01"
"Hardback book",13.66151,12.99,"2003-12-01"
"Men's hair'",10.89624,8,"2003-12-01"
"Softback book",7.103059,7.99,"2004-01-01"
"Women's hair'",21.78408,20,"2004-01-01"
"Hardback book",13.57748,12.99,"2004-01-01"
"Kerosene",201.3838,198.45,"2004-01-01"
"Men's hair'",10.99248,8,"2004-01-01"
".",3.611724,3.5,"2004-01-01"
"Oil",5.831425,5.99,"2004-01-01"
"Kerosene",195.3894,194.25,"2004-02-01"
"Men's hair'",10.87462,8.5,"2004-02-01"
"Softback book",7.348907,7.99,"2004-02-01"
".",3.579851,3.5,"2004-02-01"
"Women's hair'",21.62283,20,"2004-02-01"
"Hardback book",13.64295,12.99,"2004-02-01"
"Oil",5.814839,5.99,"2004-02-01"
"Men's hair'",10.97962,8.5,"2004-03-01"
"Softback book",7.637304,7.99,"2004-03-01"
".",3.525182,3.5,"2004-03-01"
"Hardback book",13.47652,12.99,"2004-03-01"
"Kerosene",199.2141,198.715,"2004-03-01"
"Women's hair'",21.80931,20.95,"2004-03-01"
"Oil",5.817883,5.99,"2004-03-01"
"Softback book",6.956842,7.99,"2004-04-01"
"Men's hair'",10.91415,8.5,"2004-04-01"
"Kerosene",215.5721,214.73,"2004-04-01"
".",3.551481,3.5,"2004-04-01"
"Hardback book",12.2816,10.97,"2004-04-01"
"Women's hair'",22.0907,21,"2004-04-01"
"Oil",5.85259,5.99,"2004-04-01"
"Kerosene",232.7384,236.25,"2004-05-01"
"Oil",5.828439,5.99,"2004-05-01"
"Softback book",6.358088,6.99,"2004-05-01"
"Men's hair'",10.95393,8.5,"2004-05-01"
".",3.584328,3.5,"2004-05-01"
"Hardback book",11.33105,9.99,"2004-05-01"
"Women's hair'",21.98026,21,"2004-05-01"
"Men's hair'",11.06748,8.875,"2004-06-01"
"Oil",5.860653,5.99,"2004-06-01"
".",3.611278,3.5,"2004-06-01"
"Hardback book",11.39137,9.99,"2004-06-01"
"Kerosene",220.1042,215.975,"2004-06-01"
"Women's hair'",22.15169,21,"2004-06-01"
"Softback book",6.59856,6.99,"2004-06-01"
".",3.635338,3.5,"2004-07-01"
"Softback book",6.543406,6.99,"2004-07-01"
"Oil",5.857483,5.99,"2004-07-01"
"Hardback book",11.75536,9.99,"2004-07-01"
"Women's hair'",22.35038,21.5,"2004-07-01"
"Kerosene",222.5468,219.98,"2004-07-01"
"Men's hair'",10.98026,8.9,"2004-07-01"
"Men's hair'",11.05,8.55,"2004-08-01"
"Women's hair'",22.45472,21.5,"2004-08-01"
".",3.63806,3.5,"2004-08-01"
"Oil",5.860975,5.99,"2004-08-01"
"Softback book",6.591894,6.99,"2004-08-01"
"Hardback book",11.89534,10.96,"2004-08-01"
"Kerosene",245.9703,244.39,"2004-08-01"
".",3.625038,3.5,"2004-09-01"
"Men's hair'",11.21418,9,"2004-09-01"
"Oil",5.860928,5.99,"2004-09-01"
"Women's hair'",22.46546,21.5,"2004-09-01"
"Softback book",7.072901,6.99,"2004-09-01"
"Kerosene",254.7967,252,"2004-09-01"
"Hardback book",12.42761,10.96,"2004-09-01"
"Kerosene",292.08,289.275,"2004-10-01"
".",3.628636,3.5,"2004-10-01"
"Men's hair'",11.21536,9,"2004-10-01"
"Oil",5.917669,5.99,"2004-10-01"
"Hardback book",12.00945,10.475,"2004-10-01"
"Women's hair'",22.6412,21.9,"2004-10-01"
"Softback book",7.217301,6.99,"2004-10-01"
"Women's hair'",22.80722,21.9,"2004-11-01"
"Hardback book",12.74817,12.97,"2004-11-01"
"Oil",5.877028,5.99,"2004-11-01"
"Softback book",6.897744,6.99,"2004-11-01"
"Kerosene",267.8055,266.85,"2004-11-01"
".",3.644546,3.5,"2004-11-01"
"Men's hair'",11.26951,9,"2004-11-01"
"Oil",5.901968,5.99,"2004-12-01"
".",3.643308,3.5,"2004-12-01"
"Kerosene",250.7376,248.33,"2004-12-01"
"Men's hair'",11.31231,9,"2004-12-01"
"Hardback book",14.09374,13.99,"2004-12-01"
"Women's hair'",22.77143,21.7,"2004-12-01"
"Softback book",6.975664,6.99,"2004-12-01"
"Oil",5.89362,5.99,"2005-01-01"
"Men's hair'",11.25892,9,"2005-01-01"
"Women's hair'",22.75921,21.95,"2005-01-01"
"Kerosene",254.6522,252,"2005-01-01"
"Softback book",6.740307,6.99,"2005-01-01"
"Hardback book",13.16016,12.97,"2005-01-01"
".",3.644766,3.5,"2005-01-01"
"Men's hair'",10.80193,8.5,"2005-02-01"
"Oil",5.933303,5.99,"2005-02-01"
"Kerosene",256.8457,251.79,"2005-02-01"
"Razor blades",4.808942,4.97,"2005-02-01"
"Women's hair'",22.61362,21.9,"2005-02-01"
".",3.808626,3.6,"2005-02-01"
"Softback book",6.852344,6.99,"2005-02-01"
"Hardback book",15.80583,17.99,"2005-02-01"
"Kerosene",296.4811,293.895,"2005-03-01"
"Women's hair'",22.60309,21,"2005-03-01"
"Men's hair'",10.69811,8.5,"2005-03-01"
"Softback book",6.60338,6.99,"2005-03-01"
"Razor blades",4.788763,4.97,"2005-03-01"
"Oil",5.914933,5.99,"2005-03-01"
"Hardback book",13.09376,12.99,"2005-03-01"
".",3.814719,3.6,"2005-03-01"
"Softback book",6.472949,6.99,"2005-04-01"
".",3.808155,3.6,"2005-04-01"
"Hardback book",12.57818,12,"2005-04-01"
"Oil",5.898527,5.99,"2005-04-01"
"Women's hair'",22.83831,21.9,"2005-04-01"
"Razor blades",4.860377,4.97,"2005-04-01"
"Men's hair'",10.8029,8.5,"2005-04-01"
"Kerosene",306.8896,303.98,"2005-04-01"
"Hardback book",13.69307,12.97,"2005-05-01"
"Kerosene",254.0276,252,"2005-05-01"
"Men's hair'",8.890041,8,"2005-05-01"
".",3.602114,3.5,"2005-05-01"
"Softback book",6.848692,6.99,"2005-05-01"
"Women's hair'",21.03522,20,"2005-05-01"
"Oil",5.979418,5.99,"2005-05-01"
"Razor blades",4.886087,4.97,"2005-05-01"
"Oil",5.923282,5.99,"2005-06-01"
"Razor blades",4.863578,4.97,"2005-06-01"
"Softback book",6.739473,6.99,"2005-06-01"
"Kerosene",314.2418,311.85,"2005-06-01"
"Women's hair'",23.09027,22.5,"2005-06-01"
"Hardback book",13.50392,13.99,"2005-06-01"
".",3.890121,3.7,"2005-06-01"
"Men's hair'",10.98168,8.5,"2005-06-01"
"Hardback book",15.44953,14.99,"2005-07-01"
"Men's hair'",11.01552,8.6,"2005-07-01"
"Softback book",6.836898,6.99,"2005-07-01"
"Razor blades",4.932793,4.97,"2005-07-01"
"Women's hair'",23.16977,22.5,"2005-07-01"
".",3.916564,3.7,"2005-07-01"
"Kerosene",337.4521,334.27,"2005-07-01"
"Oil",5.908035,5.99,"2005-07-01"
"Kerosene",356.257,351.96,"2005-08-01"
"Razor blades",5.198293,4.97,"2005-08-01"
"Oil",5.909934,5.99,"2005-08-01"
"Men's hair'",11.01393,8.5,"2005-08-01"
"Women's hair'",23.08058,22.025,"2005-08-01"
"Hardback book",15.76312,14.99,"2005-08-01"
"Softback book",6.745165,6.99,"2005-08-01"
".",3.919277,3.7,"2005-08-01"
"Softback book",6.817358,6.99,"2005-09-01"
"Women's hair'",23.1616,22.05,"2005-09-01"
"Kerosene",362.1271,357.84,"2005-09-01"
"Hardback book",15.69464,14.99,"2005-09-01"
".",3.954491,3.7,"2005-09-01"
"Oil",5.976948,5.99,"2005-09-01"
"Razor blades",5.124628,4.94,"2005-09-01"
"Men's hair'",11.03232,8.95,"2005-09-01"
"Men's hair'",11.21207,9,"2005-10-01"
"Oil",6.024495,5.99,"2005-10-01"
"Softback book",6.582147,6.99,"2005-10-01"
"Hardback book",15.07986,14.99,"2005-10-01"
"Kerosene",376.7191,372.75,"2005-10-01"
".",3.961012,3.7,"2005-10-01"
"Razor blades",5.182605,4.97,"2005-10-01"
"Women's hair'",23.41519,22.6,"2005-10-01"
"Softback book",6.469937,6.99,"2005-11-01"
"Men's hair'",11.08736,8.95,"2005-11-01"
".",3.967665,3.7,"2005-11-01"
"Razor blades",5.263651,4.985,"2005-11-01"
"Women's hair'",23.43127,22.5,"2005-11-01"
"Oil",6.057087,5.99,"2005-11-01"
"Kerosene",333.7634,330.75,"2005-11-01"
"Hardback book",14.96258,14.99,"2005-11-01"
"Softback book",5.845478,5.99,"2005-12-01"
".",3.968598,3.7,"2005-12-01"
"Oil",6.039326,5.99,"2005-12-01"
"Men's hair'",11.20827,9,"2005-12-01"
"Kerosene",347.8849,342.41,"2005-12-01"
"Women's hair'",23.54695,22.5,"2005-12-01"
"Razor blades",5.117716,4.94,"2005-12-01"
"Hardback book",13.2974,12.99,"2005-12-01"
".",4.006209,3.7,"2006-01-01"
"Oil",6.086134,5.99,"2006-01-01"
"Razor blades",5.13814,4.94,"2006-01-01"
"Hardback book",10.95113,9.96,"2006-01-01"
"Kerosene",355.2422,350.7,"2006-01-01"
"Men's hair'",11.20849,9,"2006-01-01"
"Women's hair'",23.33649,22.05,"2006-01-01"
"Softback book",5.800764,4.99,"2006-01-01"
"Kerosene",368.1621,355.95,"2006-02-01"
"Women's hair'",23.4698,22.275,"2006-02-01"
"Oil",6.117494,5.99,"2006-02-01"
"Softback book",6.021904,6.99,"2006-02-01"
".",3.956639,3.7,"2006-02-01"
"Razor blades",5.21168,4.98,"2006-02-01"
"Men's hair'",11.39173,9,"2006-02-01"
"Hardback book",15.31646,15.99,"2006-02-01"
"Softback book",6.070701,6.99,"2006-03-01"
"Hardback book",14.60248,14.99,"2006-03-01"
"Razor blades",5.221066,4.985,"2006-03-01"
"Kerosene",370.5586,362.25,"2006-03-01"
".",3.965462,3.7,"2006-03-01"
"Men's hair'",11.5375,9,"2006-03-01"
"Women's hair'",23.6249,22,"2006-03-01"
"Oil",6.252233,5.99,"2006-03-01"
"Kerosene",381.8763,372.75,"2006-04-01"
"Softback book",6.136908,6.99,"2006-04-01"
"Razor blades",5.236667,5.19,"2006-04-01"
"Women's hair'",23.74627,22,"2006-04-01"
"Oil",6.319637,5.99,"2006-04-01"
"Men's hair'",11.46566,9,"2006-04-01"
".",4.012402,3.8,"2006-04-01"
"Hardback book",13.29807,12.99,"2006-04-01"
"Softback book",6.663019,6.99,"2006-05-01"
".",4.0656,3.8,"2006-05-01"
"Hardback book",12.28761,11.99,"2006-05-01"
"Men's hair'",11.4553,9,"2006-05-01"
"Kerosene",381.8211,370.55,"2006-05-01"
"Oil",6.469516,5.99,"2006-05-01"
"Women's hair'",23.80117,22.025,"2006-05-01"
"Razor blades",5.200866,5.19,"2006-05-01"
"Men's hair'",11.6093,9,"2006-06-01"
"Kerosene",381.6825,372.75,"2006-06-01"
"Women's hair'",23.9748,22.5,"2006-06-01"
"Oil",6.609579,6.4,"2006-06-01"
"Softback book",6.527799,6.99,"2006-06-01"
".",4.096138,3.85,"2006-06-01"
"Razor blades",5.184014,5.19,"2006-06-01"
"Hardback book",12.17467,11.99,"2006-06-01"
"Women's hair'",24.25532,22.5,"2006-07-01"
"Men's hair'",11.85308,9,"2006-07-01"
"Oil",6.626513,6.49,"2006-07-01"
"Razor blades",5.271515,5.18,"2006-07-01"
"Hardback book",12.62187,12.99,"2006-07-01"
"Softback book",6.557546,6.99,"2006-07-01"
"Kerosene",392.9418,387.45,"2006-07-01"
".",4.080837,3.8,"2006-08-01"
"Kerosene",375.6416,373.2,"2006-08-01"
"Hardback book",12.43399,10.99,"2006-08-01"
"Razor blades",5.258182,5.17,"2006-08-01"
"Men's hair'",11.94961,9,"2006-08-01"
"Women's hair'",24.53031,22.9,"2006-08-01"
"Oil",6.665,6.49,"2006-08-01"
"Softback book",6.651548,6.99,"2006-08-01"
"Hardback book",12.17403,10.99,"2006-09-01"
"Women's hair'",24.24826,22.5,"2006-09-01"
"Razor blades",5.199083,5.15,"2006-09-01"
"Oil",6.719168,6.49,"2006-09-01"
".",4.102889,3.8,"2006-09-01"
"Men's hair'",11.61706,9,"2006-09-01"
"Softback book",6.847692,7.99,"2006-09-01"
"Kerosene",358.2,354.38,"2006-09-01"
"Hardback book",12.85801,12.99,"2006-10-01"
"Men's hair'",11.74506,9,"2006-10-01"
".",4.110889,3.85,"2006-10-01"
"Softback book",6.821465,7.99,"2006-10-01"
"Kerosene",331.8618,325.92,"2006-10-01"
"Razor blades",5.204682,5.15,"2006-10-01"
"Oil",6.719428,6.49,"2006-10-01"
"Women's hair'",24.61245,23,"2006-10-01"
"Razor blades",5.260677,5.15,"2006-11-01"
"Men's hair'",11.76953,9,"2006-11-01"
"Hardback book",12.53952,12.99,"2006-11-01"
"Women's hair'",24.62226,22.95,"2006-11-01"
"Kerosene",317.764,314.37,"2006-11-01"
".",4.113229,3.8,"2006-11-01"
"Oil",6.760958,6.49,"2006-11-01"
"Softback book",6.549412,6.99,"2006-11-01"
"Men's hair'",11.77805,9,"2006-12-01"
"Razor blades",5.351163,5.19,"2006-12-01"
"Softback book",6.410855,6.99,"2006-12-01"
"Hardback book",13.10281,12.99,"2006-12-01"
"Oil",6.695113,6.49,"2006-12-01"
".",4.13341,3.8,"2006-12-01"
"Women's hair'",24.57287,23,"2006-12-01"
"Kerosene",329.3851,324.925,"2006-12-01"
"Women's hair'",24.67816,23,"2007-01-01"
"Oil",6.754153,6.59,"2007-01-01"
"Hardback book",11.1485,9.5,"2007-01-01"
"Men's hair'",11.71925,9,"2007-01-01"
